product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
4582,chateau-de-puligny-montrachet-1cru-champ-canet-2014,Vin,A surveiller,0.6335173459452486,True,-0.09109186287445958,0.9636363636363636,0.8642424242424243,0.767469696969697,0.5645749746040006,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),109.6,53.8,,18,1.0,
6214,domaine-des-comtes-lafon-volnay-1er-cru-champans-2013,Vin,A surveiller,0.6328371453286006,True,-0.07051892588246023,0.9527272727272728,0.9248484848484848,0.7360757575757575,0.5163790290435823,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),99.0,49.62,,9,6.0,
5565,tempier-bandol-cabassaou-2017,Vin,A surveiller,0.6313841258510619,True,-0.05961076816969191,0.9478787878787879,0.92,0.7572878787878787,0.4942730766924359,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),92.0,46.11,,0,1.0,
5580,lucien-boillot-puligny-montrachet-1er-cru-les-perrieres-2016,Vin,A surveiller,0.6284351043701002,True,-0.04622005379917071,0.943030303030303,0.9357575757575758,0.7589848484848485,0.4452677103676678,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),83.7,41.08,,4,2.0,
4146,champagne-mailly-gc-brut-reserve,Champagne,A surveiller,0.6272671171157906,False,0.011609588691145034,0.8836363636363637,0.9575757575757575,0.9533333333333334,0.2766105650973009,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),29.5,17.55,,86,6.0,
4115,zind-humbrecht-riesling-gc-rangen-thann-clos-st-urbain-2017,Vin,A surveiller,0.6257685004060055,True,-0.05763269574069729,0.9466666666666667,0.8690909090909091,0.7437121212121213,0.563935004060055,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),100.0,52.7,,12,1.0,
4404,cognac-frapin-fontpinot-xo,Cognac,A surveiller,0.6252579606391799,True,-0.09354069996015624,0.9648484848484848,0.8218181818181818,0.7623787878787879,0.5708296063917992,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),108.5,52.22,,17,4.0,
4903,domaine-des-croix-corton-grand-cru-les-greves-2017,Vin,A surveiller,0.6252483316292019,True,-0.07211264467536216,0.953939393939394,0.8569696969696969,0.7488030303030303,0.5535211950798963,0.0,bc05_std_price,Signal a confirmer (driver principal: bc05_std_price),102.3,51.8,,12,2.0,
7196,,,A surveiller,0.6250996462449309,True,-0.11771146188290815,0.9757575757575757,0.8496969696969697,0.6620533764036302,0.6312497311771966,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),31.0,31.2,,55,,
5007,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2014,Vin,A surveiller,0.6245364530495139,True,-0.07824160936309632,0.9587878787878787,0.823030303030303,0.756439393939394,0.5882811971618067,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),105.0,55.88,,15,3.0,
5070,,,A surveiller,0.6243120699744759,True,-0.0661644092646293,0.9515151515151515,0.8842424242424243,0.7471060606060606,0.4994313058053642,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),84.7,47.43,,0,,
6201,david-duband-chambolle-musigny-1er-cru-les-sentiers-2016,Vin,A surveiller,0.6225949624399831,True,-0.08257422259939173,0.9612121212121212,0.8181818181818182,0.7581363636363636,0.5687450789452863,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),105.6,57.29,,16,6.0,
4336,champagne-mailly-grand-cru-blanc-de-pinot-noir,Champagne,A surveiller,0.6213732892358362,False,0.014854908232816766,0.88,0.9272727272727272,0.9660606060606061,0.2700965287219989,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),35.5,21.12,,73,6.0,
4209,,,A surveiller,0.615916331690651,True,-0.05424614205465239,0.9442424242424242,0.8915151515151515,0.7174090909090909,0.46729210478529837,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),73.5,33.01,,0,,
4210,lucien-boillot-nuits-saint-georges-1ercru-pruliers-2017,Vin,A surveiller,0.6158824373407089,True,-0.025531917389426617,0.936969696969697,0.9175757575757576,0.7505,0.38701376734648313,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),79.8,39.17,,4,3.0,
4132,zind-humbrecht-pinot-gris-grand-cru-rangen-de-thann-clos-saint-urbain-2012,Vin,A surveiller,0.613347917238684,True,-0.05490162179464786,0.9454545454545454,0.9236363636363636,0.644439393939394,0.48318371784138553,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),88.4,44.3,,7,5.0,
6129,moulin-de-gassac-igp-pays-dherault-guilhem-blanc-2017,Vin,A surveiller,0.6120277764239371,True,-0.0173622862215157,0.9272727272727272,0.9442424242424242,0.6875079218581757,0.4187128511490783,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),5.2,2.74,,68,20.0,
4148,champagne-mailly-grand-cru-brut-rose,Champagne,A surveiller,0.611419791260803,False,0.033784086661126256,0.8581818181818182,0.9296969696969697,0.9694545454545453,0.22607670048681777,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),37.5,21.88,,71,3.0,
4142,champagne-gosset-grand-millesime-2006,Champagne,A surveiller,0.6097119122780844,True,-0.021737743813313393,0.9333333333333333,0.9224242424242424,0.7174545454545453,0.3760888197505416,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),53.0,32.15,,125,4.0,
4090,,,A surveiller,0.6089224585270716,True,-0.034725579784265825,0.9393939393939394,0.8915151515151515,0.716560606060606,0.4131715549676867,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),73.0,33.79,,0,,
6106,stephane-tissot-chateau-chalon-2011,Vin,A surveiller,0.6085746963087413,False,0.007791667439914662,0.8896969696969697,0.9478787878787879,0.7751060606060606,0.35823938732983696,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),74.8,40.19,,3,2.0,
4149,champagne-mailly-grand-cru-intemporelle-rose-2009,Champagne,A surveiller,0.5987456310407717,True,-0.03981199768307364,0.9418181818181818,0.9672727272727273,0.5333333333333333,0.4274563104077182,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),69.0,40.25,,101,5.0,
4150,champagne-mailly-grand-cru-intemporelle-2010,Champagne,A surveiller,0.5969985913051887,True,-0.015073995455200162,0.9224242424242424,0.9345454545454546,0.6512727272727272,0.35671318577916056,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),59.0,35.45,,123,6.0,
4348,champagne-egly-ouriet-tradition-grand-cru,Champagne,A surveiller,0.5957810116646945,True,-0.0032372784373678742,0.9066666666666666,0.9333333333333333,0.6996363636363636,0.32168890452573323,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),59.0,34.76,,125,5.0,
5818,maison-trimbach-riesling-grand-cru-schlossberg-2015,Vin,A surveiller,0.5931223057537108,False,0.034342232132128725,0.8563636363636363,0.9612121212121212,0.7878333333333333,0.25795790602195706,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),63.5,32.48,,2,1.0,
4392,whisky-wemyss-spice-king,Whisky,A surveiller,0.5929929473056408,True,-0.019404113987639082,0.9290909090909091,0.896969696969697,0.6529242424242424,0.36933098820792376,0.0,bc05_std_taux_marge,Signal a confirmer (driver principal: bc05_std_taux_marge),49.5,22.01,,3,3.0,
5951,domaine-de-vaccelli-aop-ajaccio-rouge-granit-174-2017,Vin,A surveiller,0.5927188558366069,False,0.006503246360176518,0.8909090909090909,0.9103030303030303,0.7140151515151515,0.3628324977600085,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),74.5,39.65,,4,2.0,
5741,clerget-chambolle-musigny-charmes-2015,Vin,A surveiller,0.5875240031812197,False,0.013357427355346285,0.8812121212121212,0.9078787878787878,0.7063787878787878,0.3562779106000752,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),73.3,37.87,,4,2.0,
4797,domaine-peyre-rose-clos-des-cistes-2008,Vin,A surveiller,0.586765307920524,True,-0.014044869666132609,0.9206060606060606,0.9127272727272727,0.5918333333333333,0.39263035193251206,0.0,bc05_std_purchase_price,Signal a confirmer (driver principal: bc05_std_purchase_price),78.0,42.32,,5,5.0,
