product_id,post_name,product_type,priorite_decisionnelle,decision_score,bc05_iforest_flag,bc05_iforest_score,if_component,knn_component,kmeans_component,shap_component,impact_component,shap_top_driver,lecture_strategique,price,purchase_price,taux_marge,stock_quantity,total_sales_clean,ca_par_article
5706,domaine-terres-d-ocre-saint-pourcain-blanc-instant-t-2018,Vin,Normal,0.23775636406481251,False,0.11006357646787374,0.5515151515151515,0.1781818181818182,0.20387155822181205,0.06084721240631631,0.0,bc05_std_taux_marge,Conforme au profil courant,10.3,5.32,,26,12.0,
4153,elian-daros-cotes-du-marmandais-clos-baquey-2015,Vin,Normal,0.23686366528171385,False,0.12152895568610678,0.32727272727272727,0.4509090909090909,0.25308367943393323,0.10537477002987489,0.0,bc05_std_taux_marge,Conforme au profil courant,29.0,15.13,,30,9.0,
4166,ollieux-romanis-corbieres-boutenac-atal-sia-2017,Vin,Normal,0.23643690030640835,False,0.1236244009390059,0.29333333333333333,0.6654545454545454,0.026538224888478693,0.11365257482227457,0.0,bc05_std_purchase_price,Conforme au profil courant,20.5,10.27,,20,9.0,
4303,rimauresq-cotes-provence-quintessence-2015,Vin,Normal,0.23474693808005342,False,0.12129414506329633,0.3321212121212121,0.416969696969697,0.2751442854945393,0.10444992225569508,0.0,bc05_std_taux_marge,Conforme au profil courant,30.0,15.19,,15,10.0,
5810,chateau-tour-de-pez-saint-estephe-2017,Vin,Normal,0.23398925070886845,False,0.12391711888905077,0.28484848484848485,0.6290909090909091,0.07490186125211505,0.11481244248323906,0.0,bc05_std_price,Conforme au profil courant,24.0,12.77,,27,11.0,
4786,maurice-schoech-gewurztraminer-2018,Vin,Normal,0.23365363316156756,False,0.11127232173026536,0.526060606060606,0.12242424242424242,0.287871558221812,0.08169869125265468,0.0,bc05_std_purchase_price,Conforme au profil courant,12.1,6.56,,32,12.0,
4076,plateau-des-chenes-lirac-blanc-2016,Vin,Normal,0.23261271949146894,False,0.11097537625355997,0.5418181818181819,0.08121212121212121,0.2632654976157514,0.14335016061227446,0.0,bc05_std_purchase_price,Conforme au profil courant,14.05,6.9,,32,13.0,
4752,domaine-de-montgilet-coteaux-de-laubance-les-trois-schistes-2016,Vin,Normal,0.23225544181298907,False,0.10079931166214018,0.673939393939394,0.014545454545454545,0.10884125519150899,0.10838344443353627,0.0,bc05_std_taux_marge,Conforme au profil courant,27.9,13.69,,23,7.0,
4778,clos-du-mont-olivet-cotes-du-rhone-rose-farel-2019,Vin,Normal,0.2319444207769037,False,0.11451533387378598,0.4690909090909091,0.33090909090909093,0.08762913397938778,0.11890959770904597,0.0,bc05_std_purchase_price,Conforme au profil courant,13.9,6.89,,20,9.0,
6222,planeta-sicilia-passito-di-noto-2016,Vin,Normal,0.2317519114194992,False,0.11865054419030424,0.3903030303030303,0.38545454545454544,0.1877503461005999,0.09407541322591037,0.0,bc05_std_purchase_price,Conforme au profil courant,26.4,13.23,,29,10.0,
5796,chateau-saransot-dupre-bordeaux-blanc-2016,Vin,Normal,0.23159433676274813,False,0.11231120561429886,0.5127272727272727,0.25575757575757574,0.11817458852484232,0.08898451514324836,0.0,bc05_std_purchase_price,Conforme au profil courant,12.5,6.2,,21,8.0,
4152,elian-daros-cotes-du-marmandais-chante-coucou-2016,Vin,Normal,0.23124911080791838,False,0.12295828943097925,0.3018181818181818,0.49696969696969695,0.19368974003999384,0.1225625586252539,0.0,bc05_std_price,Conforme au profil courant,19.2,9.52,,14,6.0,
4566,domaine-de-montcalmes-ct-languedoc-blanc-2017,Vin,Normal,0.23068434279152278,False,0.12021017157546776,0.3563636363636364,0.4387878787878788,0.17332610367635748,0.10018760573402516,0.0,bc05_std_price,Conforme au profil courant,28.5,15.31,,19,8.0,
4262,chermette-domaine-du-vissoux-brouilly-pierreux-2018,Vin,Normal,0.23054703881155497,False,0.13307440039870005,0.06484848484848485,0.6206060606060606,0.4787806491309029,0.15154183866161974,0.0,bc05_std_price,Conforme au profil courant,15.8,8.33,,43,13.0,
4056,clos-du-mont-olivet-cotes-du-rhone-vieilles-vignes-2018,Vin,Normal,0.23046651451567385,False,0.12262683141131253,0.3109090909090909,0.32484848484848483,0.40835640670666046,0.10970629267250527,0.0,bc05_std_price,Conforme au profil courant,12.7,6.36,,38,11.0,
4254,domaine-huet-vouvray-haut-lieu-demi-sec-2015,Vin,Normal,0.2301759790511416,False,0.11532934633539038,0.45212121212121215,0.35393939393939394,0.1020533764036302,0.08443730166354625,0.0,bc05_std_price,Conforme au profil courant,26.9,14.59,,20,9.0,
5617,albert-boxler-pinot-gris-reserve-2016,Vin,Normal,0.2301057398699914,False,0.12635917864389262,0.2193939393939394,0.07818181818181819,0.5746594370096908,0.12452278863992267,0.2,bc05_std_purchase_price,Conforme au profil courant,27.8,14.65,,0,9.0,
